,University_id,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
237,123692,1,2039,1389,432,56,91,1333,30,15688,4618,400,400,88,92,9.5,54,18979,83
425,123880,1,1743,1625,626,8,29,1862,382,14134,5270,500,800,71,74,13.1,22,9209,63
769,124224,1,1979,1739,575,42,68,1980,144,15948,4404,400,800,82,95,12.8,29,10414,78
70,123525,1,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97
284,123739,1,8474,3446,911,75,94,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90
518,123973,1,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
571,124026,0,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65
142,123597,1,314,158,132,10,28,690,5346,8294,3700,400,900,87,87,15.3,2,5015,37
80,123535,1,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81
371,123826,1,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75
767,124222,0,2320,1805,769,24,61,3395,670,6400,3392,580,2150,71,80,12.8,26,6729,59
556,124011,1,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,10307,73
566,124021,0,5318,3515,1025,8,29,7626,2091,6550,4040,550,1230,71,78,18.7,12,7511,42
120,123575,1,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67
183,123638,1,516,409,200,17,40,1238,30,8770,3500,450,700,58,58,17.3,17,6430,70
87,123542,1,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74
144,123599,1,6756,1930,871,78,96,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99
28,123483,1,662,513,257,12,30,2074,726,11902,4372,540,950,65,65,12.8,31,7836,58
580,124035,1,232,182,99,7,29,402,237,7070,3640,400,3158,59,65,8.9,16,6286,36
421,123876,0,2729,2535,1257,8,29,4787,472,3735,3136,250,1630,62,65,21.7,23,5284,54
314,123769,1,1154,1050,395,12,31,2192,1423,10560,4520,500,1200,36,48,14.3,10,7701,61
620,124075,0,11220,7871,3320,43,79,19553,2748,5697,3600,525,1755,88,95,14.7,22,7881,63
310,123765,1,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12.0,20,8539,66
537,123992,0,1047,938,511,13,33,2091,546,4285,2750,600,1800,58,75,16.5,31,6591,51
232,123687,1,555,414,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47
491,123946,1,1046,824,284,21,45,1223,451,10880,5050,400,1235,64,64,19.3,24,7344,69
374,123829,1,594,385,307,36,57,1695,721,5580,2830,600,700,77,79,16.5,18,6170,61
638,124093,0,4192,3126,1656,15,45,5887,1254,8828,3474,753,2610,79,91,19.0,11,6393,53
77,123532,1,563,247,247,23,52,1427,432,12950,5300,612,576,72,74,12.4,17,8985,60
770,124225,1,1501,935,273,51,83,1059,34,12680,4150,605,1440,91,92,15.3,42,7875,75
175,123630,1,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78
68,123523,1,838,673,292,22,53,881,55,10265,4725,560,875,68,73,13.2,24,8655,82
551,124006,1,1243,1020,414,33,60,2149,418,8678,3858,700,1736,82,83,16.2,7,7651,72
608,124063,1,682,535,204,22,43,771,611,9500,3540,400,750,26,58,2.5,10,7683,57
453,123908,1,1133,630,220,37,73,750,30,17688,5900,650,850,100,100,10.4,11,14820,73
579,124034,1,1769,1092,437,41,80,1757,81,10965,4000,450,1250,60,61,14.2,32,8294,98
532,123987,1,385,340,193,18,38,784,127,9520,4124,630,1818,63,65,18.6,11,8219,43
330,123785,1,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77
636,124091,1,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59
468,123923,1,696,616,169,35,66,653,56,13970,6110,370,920,88,97,9.2,24,16358,68
569,124024,0,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,5716,76
126,123581,1,798,620,238,14,41,1165,1232,9800,4430,400,1150,46,46,11.1,35,6889,100
55,123510,1,500,336,156,25,55,421,27,6500,2700,500,1000,76,76,14.3,53,8377,51
206,123661,0,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46
704,124159,1,1399,1026,308,44,77,1131,17,14900,5160,500,800,82,85,11.6,40,12082,79
214,123669,1,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65
412,123867,0,10634,7064,3176,39,78,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62
250,123705,1,13865,2165,1606,90,100,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100
437,123892,1,1496,1205,428,26,57,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87
334,123789,1,2939,1496,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77
728,124183,1,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,90
692,124147,0,7663,6008,1735,18,51,7353,1674,15516,4928,500,990,87,90,9.9,10,12646,79
482,123937,0,3820,1431,695,21,70,5303,3942,4356,4830,800,800,76,81,22.1,6,7252,51
99,123554,1,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66
585,124040,0,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10
581,124036,0,14474,10519,6392,49,85,31643,2798,5130,3412,600,2144,89,91,23.1,29,8471,69
539,123994,1,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
130,123585,1,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72
479,123934,1,3304,2804,679,10,20,2111,1489,12520,6050,500,730,44,54,16.4,8,7957,61
685,124140,0,14752,9572,5329,48,85,30017,5189,5130,3309,650,3140,91,99,19.7,11,7837,65
146,123601,1,232,216,106,16,34,534,172,6900,3800,450,1825,67,76,12.1,9,6875,42
647,124102,0,6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53
178,123633,1,379,341,265,10,36,1050,151,4950,2780,530,1500,62,62,15.7,7,5619,38
746,124201,0,5548,3563,1549,30,71,8909,506,8124,4144,639,2385,83,89,22.7,10,7203,61
602,124057,0,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56
269,123724,0,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77,84,21.0,16,5569,54
514,123969,1,584,413,131,19,51,521,99,8955,5900,500,1488,51,56,11.8,23,8545,52
257,123712,1,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81,90,13.9,10,10093,60
672,124127,0,285,280,208,21,43,1140,473,3687,1920,600,1800,67,77,23.6,3,3864,43
373,123828,1,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35,46,16.7,23,7140,67
684,124139,0,3281,2559,1448,19,43,10975,8431,4422,2780,500,2850,73,73,21.0,4,4696,29
4,123459,1,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15
695,124150,0,1558,1254,472,20,57,3754,2477,6172,3994,541,1387,83,87,23.4,12,8488,53
734,124189,1,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,13935,69
88,123543,1,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79
713,124168,0,15712,11719,4277,29,53,18511,604,10260,3176,740,2200,85,89,13.8,20,8944,73
666,124121,1,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15.0,17,11217,63
577,124032,1,257,183,109,19,41,396,38,7850,3410,400,1500,55,70,10.0,15,7233,53
359,123814,1,2286,1668,564,37,70,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91
8,123463,1,1038,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80
576,124031,1,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,67
641,124096,0,3844,3383,1669,26,47,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53
318,123773,1,1561,1188,458,48,72,1548,840,13380,4210,500,900,89,91,17.8,34,8747,81
136,123591,1,672,596,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72
555,124010,1,450,405,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59
432,123887,0,11023,8298,3183,21,54,14861,1310,7629,4095,550,2300,79,87,20.4,13,8811,64
301,123756,1,979,638,271,31,70,968,20,16880,3970,920,1320,91,94,10.7,19,15687,77
526,123981,1,437,400,211,13,35,614,271,8990,3064,500,1700,73,73,14.8,7,7881,48
380,123835,1,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54
452,123907,1,404,400,169,28,48,797,100,6000,3000,500,500,48,57,13.4,14,5557,61
489,123944,0,3971,3306,1921,10,34,11493,2206,4259,2625,350,1884,70,75,18.9,10,4629,58
413,123868,1,812,689,195,7,24,646,84,8242,4230,600,1295,77,77,12.7,11,10090,52
283,123738,1,2421,2109,820,27,57,3168,392,11700,5550,600,450,89,90,14.5,28,7738,89
511,123966,1,4019,2779,888,40,73,3891,128,13584,5928,630,1278,88,92,13.9,19,10872,100
416,123871,1,465,361,176,19,39,879,156,12580,4345,400,970,76,79,13.1,24,10889,74
765,124220,1,1239,1017,383,10,34,1207,157,7820,3400,550,1550,69,81,13.9,8,7264,91
738,124193,0,6502,3539,1372,11,51,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52
553,124008,1,651,581,243,8,17,617,34,5000,3650,600,600,45,45,14.0,8,8426,45
51,123506,1,202,184,122,19,42,537,101,8540,3580,500,1400,61,80,8.8,32,8324,56
128,123583,1,344,264,97,11,42,500,331,12600,5520,630,2250,77,80,10.4,7,9773,43
531,123986,0,818,700,447,20,50,2962,651,3738,2619,450,1022,55,59,19.6,9,4444,53
600,124055,1,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64
775,124230,1,10705,2453,1317,95,99,5217,83,19840,6510,630,2115,96,96,5.8,49,40386,99
461,123916,0,21804,18744,5874,29,60,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67
145,123600,1,281,266,139,13,29,1049,181,10500,3750,450,950,69,75,12.8,18,6955,45
360,123815,1,1557,1074,397,15,40,1805,433,9813,4050,425,1000,45,63,16.7,29,7307,78
182,123637,1,486,440,227,19,48,903,59,9650,3800,600,1300,46,65,11.4,29,10188,82
1,123456,1,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56
513,123968,1,1109,688,386,20,65,1897,208,8325,5000,1200,1600,14,98,16.1,26,6874,55
502,123957,1,2248,1673,745,38,73,2888,105,14350,3750,550,550,82,88,10.0,31,12502,83
107,123562,1,959,771,351,23,48,1662,209,16624,5895,600,1100,72,80,12.8,6,12692,47
614,124069,1,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75
670,124125,1,3934,2735,886,40,70,3698,217,13600,5940,630,1820,93,96,15.6,13,10813,66
433,123888,1,2190,1700,458,36,65,1780,48,16732,5650,550,550,93,93,12.1,32,12011,75
322,123777,1,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61,62,14.2,24,7578,70
529,123984,0,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15.0,29,5084,67
737,124192,1,4772,1973,712,60,86,2714,27,19130,5600,1400,1400,90,94,12.1,39,16262,92
631,124086,0,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35
557,124012,1,1768,1249,380,51,93,1263,11,16900,5680,450,750,89,89,19.0,33,12837,79
295,123750,1,355,300,142,34,65,509,44,8664,3350,600,3000,65,68,10.7,25,8954,65
54,123509,1,805,588,287,67,88,1376,207,11660,4325,400,900,74,79,14.0,34,8649,72
464,123919,1,3712,2153,806,17,45,2677,714,12030,6140,1000,500,63,73,12.0,33,8847,86
309,123764,1,6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91
306,123761,1,1243,947,324,50,77,1129,74,17163,3891,525,975,76,92,10.1,57,13965,77
609,124064,1,6348,2999,922,68,94,3340,39,18930,6380,500,1254,99,99,5.3,36,36854,90
507,123962,1,335,284,132,28,69,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60
352,123807,1,549,397,169,26,51,1343,1751,9250,4550,425,1350,52,58,13.1,13,5925,61
285,123740,0,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36
351,123806,1,1464,888,176,26,52,624,128,11200,4208,500,1642,80,90,11.1,43,8317,51
653,124108,0,5191,4134,1500,15,44,7532,1847,8677,3505,600,1300,75,94,15.5,17,7392,53
676,124131,0,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17.0,7,11020,47
218,123673,0,5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46
307,123762,1,1470,1199,425,21,76,1820,558,11040,4840,400,900,89,92,13.3,28,8118,94
104,123559,0,2785,2011,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51
484,123939,0,3366,1752,232,27,79,2585,1300,7411,4748,690,2009,90,95,18.6,12,10134,57
572,124027,0,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59
313,123768,1,2774,2092,482,35,64,1763,59,15800,4790,450,950,97,98,12.3,21,12999,69
565,124020,0,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22.0,21,5280,63
300,123755,1,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75
411,123866,0,4809,3089,1429,12,33,6162,871,6806,1780,600,1651,72,72,16.7,9,7090,44
584,124039,1,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,7002,50
262,123717,1,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44
677,124132,1,12229,8498,2477,45,71,13259,1429,17230,6482,600,2210,90,94,11.4,10,17007,68
742,124197,1,1205,984,278,31,50,1071,98,14510,5340,500,1400,84,91,12.5,39,10026,60
476,123931,1,2227,1790,437,27,54,1460,239,13425,4425,450,1200,85,89,13.0,26,9405,72
173,123628,1,700,650,314,33,66,1065,48,8730,3523,500,750,82,92,13.2,35,9303,67
613,124068,1,6361,5293,1507,26,51,5889,665,11380,4220,500,900,81,85,14.8,25,8894,93
81,123536,1,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63
467,123922,1,1771,1325,306,21,46,1071,27,13840,3735,400,900,77,80,10.7,38,11080,74
466,123921,0,2088,957,362,6,29,2745,1938,4449,4860,600,1655,74,95,17.8,8,7333,47
331,123786,1,1286,1005,363,16,37,1363,74,13900,4300,500,900,75,81,14.0,32,8024,72
689,124144,1,1445,966,326,46,83,1129,24,15350,4080,450,810,89,93,10.3,52,18784,82
239,123694,1,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65
596,124051,1,2425,1818,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93
711,124166,0,4963,3497,1567,18,45,10262,5065,10217,4182,500,3630,81,87,8.7,11,11183,45
646,124101,0,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51
723,124178,1,1231,1074,345,34,66,1295,105,11600,3610,400,850,66,91,12.4,37,7735,67
575,124030,1,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,61
346,123801,1,499,441,199,26,52,846,377,11200,7400,600,1300,66,79,6.8,50,10819,90
298,123753,1,2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90,90,15.1,9,9084,84
592,124047,1,1262,1102,276,14,40,978,98,9456,4350,468,1323,53,53,12.8,24,7603,65
645,124100,1,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52
506,123961,1,489,384,120,23,52,700,45,10575,3952,400,620,46,24,13.0,9,8946,98
16,123471,1,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100
448,123903,1,838,651,159,11,25,654,162,8640,3700,400,1915,62,62,12.2,13,7634,48
435,123890,1,776,765,351,22,44,1419,228,6400,3150,500,1900,58,64,16.2,8,6578,45
110,123565,1,81,72,51,33,71,139,3,8730,3600,400,800,92,92,9.3,17,10922,58
680,124135,0,2850,2044,1046,20,50,9260,1387,4652,2470,500,500,78,99,18.7,23,5917,45
304,123759,1,831,538,224,15,35,840,325,5170,3430,600,1590,61,61,16.1,10,5531,60
751,124206,0,950,713,351,42,72,1276,9,14320,5304,490,1410,77,77,14.9,17,8837,87
29,123484,1,1879,1658,497,36,69,1950,38,13353,4173,540,821,78,83,12.7,40,9220,71
438,123893,1,910,773,450,31,73,1310,61,6530,2800,500,1500,63,67,13.3,10,6413,65
61,123516,0,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67
66,123521,1,1436,1228,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18
663,124118,1,12394,5232,2464,85,100,9205,531,17020,7270,500,1544,95,96,6.3,38,25765,93
595,124050,1,222,185,91,16,41,484,541,11010,5208,550,500,58,78,10.4,26,9586,78
622,124077,0,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,12833,54
268,123723,1,1756,1360,478,42,77,1911,626,14550,4620,500,700,80,88,12.3,26,12851,56
764,124219,1,167,130,46,16,50,199,676,11428,5084,450,475,67,76,8.3,43,10291,67
601,124056,1,3495,1712,528,49,84,1915,123,18732,6204,450,1024,94,96,11.5,49,15411,88
267,123722,1,894,787,262,28,63,909,28,8050,3850,600,1000,75,75,15.6,30,7348,52
563,124018,0,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91,96,10.5,7,13705,57
164,123619,1,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87
228,123683,1,674,565,282,25,54,1151,39,12200,4070,400,1200,73,82,14.2,32,9226,66
408,123863,1,872,722,154,14,36,601,36,10194,2600,500,1500,57,63,11.4,32,5788,83
209,123664,1,804,632,281,29,72,840,68,10390,4040,525,1345,54,78,12.5,37,11751,60
44,123499,1,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69
222,123677,0,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92,92,19.3,33,11271,70
133,123588,1,983,664,249,23,57,1698,894,9990,5666,800,1500,66,71,14.3,28,6084,64
727,124182,0,6540,5839,2440,31,70,14445,1344,8200,4210,800,2719,84,87,16.9,30,10912,56
113,123568,1,1196,697,499,21,47,959,13,4412,2460,500,1000,69,69,16.9,31,7083,21
58,123513,1,692,514,209,20,50,760,81,9900,3990,400,900,76,71,13.3,19,9073,58
391,123846,1,279,276,126,17,37,600,435,6844,2980,500,500,45,55,11.7,38,5073,44
242,123697,1,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91
469,123924,1,1966,1436,327,47,80,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68
706,124161,0,368,344,212,5,27,863,189,4286,2570,600,2000,39,41,14.9,25,4958,40
642,124097,0,6574,4637,2940,32,62,14782,1583,9057,3485,600,1983,87,87,12.7,15,10145,58
305,123760,0,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17.0,11,6119,51
57,123512,1,377,358,181,15,30,653,129,7150,4350,450,1500,61,67,17.8,3,6259,53
739,124194,0,1164,1062,478,12,25,2138,227,4470,2890,600,1210,33,33,16.3,10,4249,60
515,123970,1,855,632,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,18372,73
710,124165,1,7759,5588,1477,30,68,6362,1292,15925,6507,400,300,89,90,13.4,24,10458,96
326,123781,1,4076,3137,738,25,54,3010,184,12990,6300,600,900,86,88,14.7,27,9448,80
429,123884,1,2324,1319,370,52,81,1686,35,16560,5140,558,1152,91,93,10.5,30,16196,79
321,123776,0,2747,1870,724,12,47,2874,118,7920,3962,550,2200,74,80,18.4,23,5553,62
376,123831,0,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63
23,123478,0,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88,93,18.9,5,4602,48
536,123991,0,6118,5254,3204,15,37,13131,3374,4740,2590,500,1360,70,75,19.9,11,4632,56
644,124099,0,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48
776,124231,1,2989,1855,691,28,63,2988,1726,4990,3560,500,1250,75,75,18.1,28,4509,99
188,123643,1,3624,2786,858,11,39,2933,334,9100,3883,490,1777,70,74,18.9,34,6329,63
578,124033,1,4414,1500,335,30,60,908,119,5666,2964,1000,1400,56,58,15.5,7,5970,46
345,123800,1,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50
180,123635,0,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50
