Type,Personal,S.F.Ratio,Accept
1,2,882,210
1,84,288,136
1,23,24,101
1,37,786,210
1,43,824,210
1,26,911,210
1,133,326,218
1,17,19,21
1,141,482,218
1,11,115,218
1,10,812,218
1,11,282,218
1,2,949,218
1,4,976,210
1,16,352,218
1,5,177,71
1,2,6,4
1,21,372,12
1,39,833,210
1,9,867,218
1,4,955,218
1,46,834,210
1,17,790,218
1,14,781,210
1,59,85,210
1,223,977,218
1,5,271,210
1,16,178,143
1,1,799,218
1,75,849,210
1,41,785,218
1,15,721,210
1,22,938,218
1,15,473,218
1,25,492,210
1,1,80,111
1,6,156,193
1,4,210,210
1,44,661,210
1,164,465,210
1,14,457,210
1,9,138,53
1,44,975,218
1,2,121,30
1,7,356,218
1,6,41,74
1,2,101,23
1,52,101,70
1,75,188,210
1,3,491,218
1,4,843,210
1,29,777,218
1,3,660,210
1,10,22,14
1,11,174,176
1,47,101,101
1,23,472,210
1,35,826,218
1,65,893,210
1,184,640,210
1,3,420,210
1,1,38,64
1,64,674,218
1,178,823,218
1,52,78,44
1,44,763,218
1,65,173,58
1,142,901,218
1,67,982,218
1,17,19,33
1,5,485,210
1,26,768,210
1,3,25,95
1,8,358,210
1,70,923,210
1,11,807,218
1,53,841,210
1,35,852,210
1,5,43,48
1,2,15,9
1,7,167,205
1,4,90,218
1,68,873,210
1,1,11,10
1,174,713,218
1,1,35,218
1,52,949,210
1,32,715,210
1,70,966,218
1,9,839,218
1,6,732,210
1,64,161,68
1,40,947,210
1,6,578,218
1,21,297,218
1,4,101,85
1,10,445,210
1,192,800,218
1,84,890,210
1,9,38,7
1,3,932,210
1,6,265,218
1,29,607,210
1,156,637,210
1,3,315,218
1,4,336,218
1,1,529,210
1,60,846,210
1,8,798,218
1,15,332,210
1,29,719,210
1,4,12,49
1,48,816,218
1,2,312,218
1,40,394,210
1,22,929,210
1,4,630,210
1,11,478,218
1,9,746,210
1,6,130,52
1,1,61,218
1,9,416,210
1,51,101,101
1,42,491,210
1,15,16,20
1,61,942,218
1,68,966,210
1,73,888,210
2,20,204,188
2,4,64,196
2,45,768,218
2,31,18,87
2,58,773,210
2,2,140,218
2,1,243,210
2,13,205,210
2,15,188,218
2,36,850,218
2,57,760,210
2,34,390,210
2,2,42,218
2,43,661,218
2,63,800,210
2,3,413,115
2,163,424,210
2,11,820,210
2,95,257,155
2,43,701,218
2,25,693,210
2,229,962,210
2,31,854,210
2,2,99,218
2,54,134,189
2,14,294,210
2,3,712,218
2,14,170,210
2,195,640,218
2,74,995,210
2,67,628,210
2,39,82,101
2,5,888,218
2,27,627,218
2,8,830,210
2,34,694,210
2,31,19,83
2,15,416,218
2,42,528,218
2,36,626,210
2,37,26,94
2,6,526,197
2,38,697,210
2,3,256,218
2,1,64,43
2,7,135,210
2,13,605,210
2,3,229,218
2,2,572,218
2,22,254,210
2,23,580,218
2,5,620,218
2,2,65,101
2,79,885,210
2,44,939,210
2,3,603,210
2,33,101,17
2,2,866,210
2,2,9,5
2,16,216,164
2,15,633,218
2,1,403,218
2,1,55,37
2,4,36,84
2,27,246,210
2,98,201,218
2,5,8,6
2,139,447,218
2,10,214,175
2,16,193,131
2,21,662,218
2,10,789,210
2,32,813,210
2,63,135,140
2,7,13,10
2,72,965,210
2,29,669,218
2,2,84,147
2,14,406,210
2,193,820,210
2,5,277,218
2,16,841,126
2,13,505,218
2,3,75,134
2,178,731,210
2,15,307,210
2,90,168,218
2,21,978,210
2,32,278,210
2,47,866,218
2,2,30,24
2,1,798,210
2,24,414,218
2,20,335,218
2,29,260,218
2,176,642,218
2,17,236,192
2,10,132,218
2,41,281,210
2,88,194,154
2,152,455,218
2,39,959,210
2,6,17,8
2,42,74,87
2,4,62,153
2,21,567,210
2,7,373,210
2,29,33,65
2,10,484,210
2,7,154,210
2,79,858,218
2,162,756,155
2,14,871,210
2,27,675,210
2,62,972,210
2,5,228,210
2,15,350,210
2,29,541,218
2,26,679,210
2,4,126,80
2,83,860,210
2,26,769,210
2,14,10,15
2,7,175,218
2,22,543,210
2,10,393,218
2,211,949,210
2,16,731,218
2,21,36,21
2,1,228,116
2,65,140,131
2,21,902,218
2,40,29,96
2,22,570,210
2,19,258,218
2,9,367,218
2,16,395,210
2,50,747,218
2,1,994,218
2,196,494,210
2,10,405,218
2,80,900,210
2,51,625,218
2,12,475,210
2,54,986,218
2,96,238,210
2,47,618,210
2,66,990,218
2,3,704,210
2,106,203,218
2,13,254,218
2,25,761,218
2,2,340,218
2,129,639,210
2,62,609,218
2,171,463,210
2,15,765,210
